name,temp,humidity,clouds,wind_speed,country code,lat,lng
bachaquero,82.092,70.792,99.833,4.572,ve,9.968,-71.116
carmarthen,59.535,93.583,76.667,9.781,gb,51.859,-4.312
anito,81.958,83.25,68.333,7.349,ph,12.45,125.289
porto novo,75.8,63.792,50.833,12.658,cv,17.033,-25.067
pangai,76.433,84.5,40.0,10.196,to,-19.8,-174.35
brokopondo,78.114,88.083,33.375,4.983,sr,5.067,-54.967
havre,77.333,35.958,1.0,10.201,us,48.55,-109.683
januaria,71.298,37.958,1.375,3.175,br,-15.483,-44.367
sonari,80.937,84.542,81.25,5.008,in,27.067,95.033
lucea,82.672,66.583,20.0,11.795,jm,18.45,-78.167
ibra,95.249,37.875,31.458,6.951,om,22.69,58.547
sao miguel do araguaia,76.735,30.792,10.167,4.865,br,-13.317,-50.217
nikolayevsk-na-amure,69.385,86.333,85.333,3.038,ru,53.141,140.73
bom jardim,80.736,40.167,50.0,5.137,br,-7.017,-46.483
altonia,68.415,57.667,3.0,4.299,br,-23.933,-53.9
creel,64.727,66.708,45.25,5.657,mx,27.75,-107.633
janakpur,82.268,79.167,94.375,8.069,np,26.7,85.917
tagab,85.7,20.0,0.0,8.545,af,34.855,69.649
norton shores,69.097,59.333,65.542,9.831,us,43.169,-86.264
maloh,82.709,76.292,74.0,6.041,ph,9.056,122.985
turtas,54.17,75.458,97.25,6.949,ru,58.942,69.132
oleksandrivka,77.111,56.25,16.083,6.658,ua,48.963,32.235
richards bay,66.348,70.708,0.0,7.438,za,-28.775,32.054
hobbs,75.701,77.375,40.375,8.746,us,32.703,-103.136
margherita,80.647,85.0,78.792,4.895,in,27.283,95.683
avera,74.589,76.75,1.833,12.849,pf,-22.45,-151.35
toungoo,80.852,86.75,57.5,3.55,mm,18.933,96.433
harpanahalli,72.105,84.542,99.833,16.174,in,14.8,75.983
jiddah,93.725,41.417,36.458,10.694,sa,21.517,39.219
sheopur,93.272,49.917,91.875,6.527,in,25.667,76.7
tyret pervaya,63.797,70.917,78.75,3.742,ru,53.67,102.311
westport,46.91,68.125,73.5,4.401,nz,-41.75,171.567
hacienda heights,75.523,60.667,13.375,6.715,us,33.993,-117.968
bushehr,94.135,69.292,14.292,9.66,ir,28.968,50.839
olovyannaya,66.078,53.542,97.542,5.497,ru,50.95,115.567
madarounfa,82.95,65.583,57.208,8.41,ne,13.307,7.157
pastavy,74.697,65.458,8.792,3.108,by,55.116,26.834
jiangyou,79.227,84.583,96.333,2.842,cn,31.767,104.717
shobara,78.253,82.917,74.75,4.025,jp,34.85,133.017
murdochville,64.1,67.708,70.333,7.962,ca,48.967,-65.517
sosenskiy,76.775,72.292,11.5,4.32,ru,54.059,35.962
santiago,56.431,96.583,89.833,2.603,co,1.148,-77.004
fizesu gherlii,74.19,69.792,9.167,3.538,ro,47.017,23.983
port-cartier,58.771,84.083,64.917,4.39,ca,50.017,-66.867
skelleftea,67.679,87.375,53.708,6.17,se,64.767,20.95
sao francisco,70.947,37.5,0.083,2.795,br,-15.95,-44.867
along,75.601,87.458,61.375,1.213,in,28.167,94.767
san borja,79.595,65.917,62.875,2.015,bo,-14.817,-66.85
semey,68.525,75.75,34.583,7.057,kz,50.411,80.228
nortelandia,74.471,35.792,58.125,2.748,br,-14.417,-56.8
honiara,79.875,77.708,85.667,6.386,sb,-9.433,159.95
padilla,58.69,76.042,37.583,4.588,bo,-19.3,-64.3
capitan bado,70.511,42.042,21.167,8.832,py,-23.267,-55.533
partizanskoye,63.127,76.292,5.375,3.215,ru,55.497,94.392
bulawayo,56.9,39.542,0.0,7.195,zw,-20.15,28.583
kandrian,79.903,81.917,85.167,7.933,pg,-6.217,149.55
orlik,61.657,64.083,97.25,3.215,ru,52.518,99.825
bekasi,82.037,76.375,34.792,8.523,id,-6.235,106.99
ceahlau,71.977,53.875,14.042,3.69,ro,47.05,25.967
union de san antonio,65.964,78.958,81.75,5.582,mx,21.1,-101.967
awjilah,88.044,45.375,0.0,11.038,ly,29.108,21.287
oktyabrskiy,69.701,55.458,61.5,4.171,ru,61.091,43.168
khatima,86.107,65.792,74.292,8.479,in,28.917,79.967
tello,76.579,71.708,62.542,2.596,co,3.067,-75.138
atikokan,73.946,46.875,24.792,5.346,ca,48.75,-91.617
kadykchan,63.023,63.417,25.167,12.646,ru,63.033,146.833
darnah,79.628,66.25,0.0,15.777,ly,32.765,22.639
kaz,66.525,78.583,98.5,3.253,ru,52.911,87.311
avare,61.83,50.042,0.042,4.098,br,-23.083,-48.917
kalianget,82.61,71.458,73.0,14.22,id,-7.05,113.933
suileng,74.24,82.667,68.5,7.115,cn,47.167,127.3
timra,68.975,79.792,55.792,8.676,se,62.478,17.307
ozgon,75.978,47.625,52.25,5.589,kg,40.767,73.3
santa rosa,79.762,70.792,60.125,2.704,bo,-14.167,-66.883
ales,76.68,52.042,0.0,7.72,fr,44.131,4.087
mae ramat,77.476,95.583,70.75,2.96,th,16.984,98.517
kyra,63.33,88.125,73.708,2.985,ru,49.578,111.975
sibu,80.402,85.708,40.0,3.505,my,2.3,111.817
ndjole,77.167,77.875,73.5,3.069,ga,-0.183,10.75
kiruna,63.725,74.083,75.208,4.457,se,67.85,20.217
nyrob,55.946,61.333,33.167,5.614,ru,60.733,56.72
mailsi,106.598,26.167,49.708,9.748,pk,29.8,72.176
druskininkai,70.215,82.5,36.042,6.387,lt,54.017,23.967
bazarnyye mataki,65.904,58.792,19.458,11.878,ru,54.883,49.933
north bend,58.425,86.958,66.0,17.79,us,43.407,-124.223
corinth,75.637,87.5,68.875,6.046,us,34.934,-88.522
kouango,75.571,76.0,97.917,2.587,cf,4.967,19.983
barahona,81.104,72.958,22.167,8.779,do,18.2,-71.1
goundi,77.783,78.208,98.25,5.078,td,9.367,17.367
plast,60.199,80.667,99.125,14.303,ru,54.327,60.867
arman,54.072,91.458,99.542,3.098,ru,59.7,150.167
sarakhs,88.248,30.167,0.542,7.568,ir,36.545,61.158
tadpatri,79.494,70.75,99.625,16.103,in,14.917,78.017
grajau,81.983,44.667,61.417,4.57,br,-5.817,-46.133
jonuta,81.367,66.375,42.792,9.613,mx,18.083,-92.133
santa maria,74.175,70.417,59.583,9.594,cv,16.6,-22.9
ribas do rio pardo,69.983,35.167,0.0,4.645,br,-20.45,-53.767
mawlaik,81.277,89.958,85.75,1.14,mm,23.633,94.417
kangaatsiaq,40.077,80.542,83.583,10.83,gl,68.3,-53.467
trencin,65.516,87.167,29.667,5.469,sk,48.9,18.033
angoche,73.974,78.417,60.375,10.339,mz,-16.233,39.909
basco,84.432,78.583,86.0,14.706,ph,20.449,121.97
bullhead city,104.098,18.5,13.083,10.245,us,35.148,-114.567
sharan,65.619,65.542,22.667,11.312,ru,54.817,54.0
pocinhos,73.738,73.625,47.917,10.003,br,-7.067,-36.05
ntcheu,61.673,62.542,29.875,5.682,mw,-14.817,34.633
urdoma,64.658,52.875,4.417,5.596,ru,61.753,48.544
balakhninskiy,62.967,72.583,86.792,2.745,ru,58.011,114.277
severo-yeniseyskiy,61.307,68.208,94.833,5.84,ru,60.373,93.041
klaebu,61.682,88.0,78.417,10.723,no,64.083,11.733
ust-omchug,58.686,77.75,89.958,6.765,ru,61.15,149.633
kuala selangor,79.386,83.917,23.333,5.415,my,3.35,101.25
kombissiri,79.643,88.083,37.667,4.658,bf,12.066,-1.337
zhaotong,69.191,73.542,91.083,5.557,cn,27.317,103.717
rincon,83.667,73.917,48.375,14.576,an,12.233,-68.333
rincon,83.667,73.917,48.375,14.576,us,18.342,-67.25
rincon,80.473,83.625,50.5,11.959,an,12.233,-68.333
rincon,80.473,83.625,50.5,11.959,us,18.342,-67.25
le port,67.302,75.417,56.042,18.461,re,-20.917,55.3
sansai,81.165,81.125,67.708,5.85,th,18.831,99.004
hostotipaquillo,69.951,80.417,94.292,2.136,mx,21.067,-104.067
sultanpur,85.316,76.5,69.208,5.01,in,23.15,77.933
novoseleznevo,66.968,75.208,99.333,9.101,ru,55.682,69.206
dickinson,73.635,60.208,1.0,10.696,us,46.879,-102.789
taoudenni,97.928,28.208,40.875,7.843,ml,22.667,-3.983
gonbad-e qabus,82.93,57.583,40.833,6.587,ir,37.25,55.167
synya,52.343,63.583,47.625,5.317,ru,65.372,58.039
